time,rank,reconstruction_error,threshold,rank_changed
3101,8,0.28607787894619285,0.37879815847438164,0
3126,8,0.28607787894619285,0.37879815847438164,0
3151,8,0.28607787894619285,0.37879815847438164,0
3176,8,0.37207926305581057,0.37812626893252455,0
3201,8,0.37207926305581057,0.37812626893252455,0
3226,8,0.37207926305581057,0.37812626893252455,0
3251,8,0.37207926305581057,0.37812626893252455,0
3276,8,0.37207926305581057,0.37812626893252455,0
3286,14,0.4235844954552008,0.3826720915847922,1
3301,14,0.4235844954552008,0.3826720915847922,0
3326,14,0.4235844954552008,0.3826720915847922,0
3351,14,0.4235844954552008,0.3826720915847922,0
3376,14,0.4235844954552008,0.3826720915847922,0
3401,14,0.2236902223439707,0.3667739046607101,0
3426,14,0.2236902223439707,0.3667739046607101,0
3451,14,0.2236902223439707,0.3667739046607101,0
3476,14,0.2236902223439707,0.3667739046607101,0
3501,14,0.2236902223439707,0.3667739046607101,0
3526,14,0.22587047210334274,0.35268356140497337,0
3551,14,0.22587047210334274,0.35268356140497337,0
3576,14,0.22587047210334274,0.35268356140497337,0
3601,14,0.22587047210334274,0.35268356140497337,0
3626,14,0.22587047210334274,0.35268356140497337,0
3651,14,0.22587047210334274,0.35268356140497337,0
3676,14,0.22845051153374993,0.340260256417851,0
3701,14,0.22845051153374993,0.340260256417851,0
3726,14,0.22845051153374993,0.340260256417851,0
3751,14,0.22845051153374993,0.340260256417851,0
3776,14,0.22845051153374993,0.340260256417851,0
3801,14,0.22845051153374993,0.340260256417851,0
3826,14,0.22845051153374993,0.340260256417851,0
3851,14,0.22845051153374993,0.340260256417851,0
3876,14,0.2260181839597162,0.32883604917203757,0
3901,14,0.2260181839597162,0.32883604917203757,0
3926,14,0.2260181839597162,0.32883604917203757,0
3951,14,0.2260181839597162,0.32883604917203757,0
3976,14,0.2260181839597162,0.32883604917203757,0
4001,14,0.2260181839597162,0.32883604917203757,0
4026,14,0.2260181839597162,0.32883604917203757,0
4051,14,0.2260181839597162,0.32883604917203757,0
4076,14,0.21365623691998986,0.31731806794683276,0
4101,14,0.21365623691998986,0.31731806794683276,0
4126,14,0.21365623691998986,0.31731806794683276,0
4151,14,0.21365623691998986,0.31731806794683276,0
4176,14,0.21365623691998986,0.31731806794683276,0
4201,14,0.21365623691998986,0.31731806794683276,0
4226,14,0.21365623691998986,0.31731806794683276,0
4251,14,0.21365623691998986,0.31731806794683276,0
4276,14,0.21365623691998986,0.31731806794683276,0
4301,14,0.21365623691998986,0.31731806794683276,0
4326,14,0.2000743264124401,0.30559369379339346,0
4351,14,0.2000743264124401,0.30559369379339346,0
4376,14,0.2000743264124401,0.30559369379339346,0
4401,14,0.2000743264124401,0.30559369379339346,0
4426,14,0.2000743264124401,0.30559369379339346,0
4451,14,0.2000743264124401,0.30559369379339346,0
4476,14,0.2000743264124401,0.30559369379339346,0
4501,14,0.2000743264124401,0.30559369379339346,0
4526,14,0.1730667396373796,0.2923409983777921,0
4551,14,0.1730667396373796,0.2923409983777921,0
4576,14,0.1730667396373796,0.2923409983777921,0
4601,14,0.1730667396373796,0.2923409983777921,0
4626,14,0.1730667396373796,0.2923409983777921,0
4651,14,0.1730667396373796,0.2923409983777921,0
4676,14,0.1730667396373796,0.2923409983777921,0
4688,10,0.13555227690750787,0.2766621262307637,1
4701,10,0.13555227690750787,0.2766621262307637,0
4726,10,0.13555227690750787,0.2766621262307637,0
4751,10,0.13555227690750787,0.2766621262307637,0
4776,10,0.13555227690750787,0.2766621262307637,0
4801,10,0.13555227690750787,0.2766621262307637,0
4826,10,0.13555227690750787,0.2766621262307637,0
4851,10,0.13555227690750787,0.2766621262307637,0
4876,10,0.13555227690750787,0.2766621262307637,0
4901,10,0.2088000334844233,0.26987591695612967,0
4926,10,0.2088000334844233,0.26987591695612967,0
4951,10,0.2088000334844233,0.26987591695612967,0
4976,10,0.2088000334844233,0.26987591695612967,0
5001,10,0.2088000334844233,0.26987591695612967,0
5026,10,0.2088000334844233,0.26987591695612967,0
5051,10,0.2088000334844233,0.26987591695612967,0
5076,10,0.2088000334844233,0.26987591695612967,0
5101,10,0.2088000334844233,0.26987591695612967,0
5126,10,0.20614398289645464,0.2635027235501622,0
5151,10,0.20614398289645464,0.2635027235501622,0
5176,10,0.20614398289645464,0.2635027235501622,0
5201,10,0.20614398289645464,0.2635027235501622,0
5226,10,0.20614398289645464,0.2635027235501622,0
5251,10,0.20614398289645464,0.2635027235501622,0
5276,10,0.20614398289645464,0.2635027235501622,0
5301,10,0.20561396245119692,0.25771384744026565,0
5326,10,0.20561396245119692,0.25771384744026565,0
5351,10,0.20561396245119692,0.25771384744026565,0
5376,10,0.20561396245119692,0.25771384744026565,0
5401,10,0.20561396245119692,0.25771384744026565,0
5426,10,0.20561396245119692,0.25771384744026565,0
5451,10,0.20561396245119692,0.25771384744026565,0
5476,10,0.20460078736698395,0.2524025414329375,0
5501,10,0.20460078736698395,0.2524025414329375,0
5526,10,0.20460078736698395,0.2524025414329375,0
5551,10,0.20460078736698395,0.2524025414329375,0
5576,10,0.20460078736698395,0.2524025414329375,0
5601,10,0.20460078736698395,0.2524025414329375,0
5626,10,0.20422336867497545,0.24758462415714128,0
5651,10,0.20422336867497545,0.24758462415714128,0
5676,10,0.20422336867497545,0.24758462415714128,0
5701,10,0.20422336867497545,0.24758462415714128,0
5726,10,0.20422336867497545,0.24758462415714128,0
